wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
29,experiment,experiment,SDS,TTAB,0.474341649025257,0.01,SDS_dilution_1,4.0,23.71708245126285,TTAB_dilution_5,0.1,20.0,156.28291754873715,0.0,,5,1,0.0396,225798.0,257207.0,0.8778843499593713
30,experiment,experiment,SDS,TTAB,0.474341649025257,0.06887246539984299,SDS_dilution_1,4.0,23.71708245126285,TTAB_dilution_3,0.7000000000000001,19.677847257097994,156.60507029163915,0.0,,5,1,0.0447,228307.0,262481.0,0.869803909616315
31,experiment,experiment,SDS,TTAB,0.474341649025257,0.474341649025257,SDS_dilution_1,4.0,23.71708245126285,TTAB_dilution_1,4.0,23.71708245126285,152.5658350974743,0.0,,5,1,0.3889,81780.0,96734.0,0.8454111274215891
32,experiment,experiment,SDS,TTAB,0.474341649025257,3.266907881019648,SDS_dilution_1,4.0,23.71708245126285,TTAB_stock,50.0,13.067631524078593,163.21528602465855,0.0,,5,1,0.0557,135850.0,157577.0,0.862118202529557
33,experiment,experiment,SDS,TTAB,0.474341649025257,22.5,SDS_dilution_1,4.0,23.71708245126285,TTAB_stock,50.0,90.0,86.28291754873715,0.0,,5,1,0.0383,203425.0,253999.0,0.8008889798778736
34,experiment,experiment,SDS,TTAB,3.266907881019648,0.01,SDS_stock,50.0,13.067631524078593,TTAB_dilution_5,0.1,20.0,166.9323684759214,0.0,,5,1,0.0382,182530.0,204893.0,0.890855226874515
35,experiment,experiment,SDS,TTAB,3.266907881019648,0.06887246539984299,SDS_stock,50.0,13.067631524078593,TTAB_dilution_3,0.7000000000000001,19.677847257097994,167.2545212188234,0.0,,5,1,0.0405,152541.0,168402.0,0.9058146577831617
36,experiment,experiment,SDS,TTAB,3.266907881019648,0.474341649025257,SDS_stock,50.0,13.067631524078593,TTAB_dilution_1,4.0,23.71708245126285,163.21528602465855,0.0,,5,1,0.098,108829.0,125410.0,0.867785663025277
37,experiment,experiment,SDS,TTAB,3.266907881019648,3.266907881019648,SDS_stock,50.0,13.067631524078593,TTAB_stock,50.0,13.067631524078593,173.86473695184281,0.0,,5,1,1.4387,50192.0,70509.0,0.7118523876384575
38,experiment,experiment,SDS,TTAB,3.266907881019648,22.5,SDS_stock,50.0,13.067631524078593,TTAB_stock,50.0,90.0,96.93236847592141,0.0,,5,1,0.9915,37835.0,49729.0,0.7608236642602908
39,experiment,experiment,SDS,TTAB,22.5,0.01,SDS_stock,50.0,90.0,TTAB_dilution_5,0.1,20.0,90.0,0.0,,5,1,0.0383,235705.0,300491.0,0.7843995327647084
40,experiment,experiment,SDS,TTAB,22.5,0.06887246539984299,SDS_stock,50.0,90.0,TTAB_dilution_3,0.7000000000000001,19.677847257097994,90.322152742902,0.0,,5,1,0.038,235385.0,299430.0,0.7861102761914304
41,experiment,experiment,SDS,TTAB,22.5,0.474341649025257,SDS_stock,50.0,90.0,TTAB_dilution_1,4.0,23.71708245126285,86.28291754873715,0.0,,5,1,0.039,242408.0,309794.0,0.7824812617416735
42,experiment,experiment,SDS,TTAB,22.5,3.266907881019648,SDS_stock,50.0,90.0,TTAB_stock,50.0,13.067631524078593,96.93236847592141,0.0,,5,1,1.251,49457.0,66096.0,0.7482601065117405
43,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1,3.0392,112093.0,171514.0,0.6535501475098243
